Supplier,MFR,MFR_PN,DigiKey_PN,Description,Qty,Unit_USD_est,Ext_USD_est,Critical,Notes
DigiKey,Raspberry Pi,SC0915,2648-SC0915CT-ND,"RP2040 Pico module, castellated, NO headers (A1)",5,4.00,20.00,Y,"EXACT: not Pico H/W/WH; hand-soldered"
DigiKey,TRACO Power,TMA 0505S,1951-1003-ND,"Isolated 5->5V 1W SIP-7 DC/DC (U37)",5,4.62,23.10,Y,"EXACT no sub; isolation barrier; long-lead"
DigiKey,Phoenix Contact,1715734,277-1264-ND,"MKDS 1,5/3-5,08 screw term 3-pos 5.08mm (J2 5V in)",5,2.25,11.25,Y,"5.08mm pitch"
DigiKey,Phoenix Contact,1715721,277-1263-ND,"MKDS 1,5/2-5,08 screw term 2-pos 5.08mm (J6-J11 outputs)",24,1.34,32.16,Y,"6 per board; LCSC C5183929; 5.08mm"
DigiKey,Phoenix Contact,1843680,277-5774-ND,"MCV 1,5/10-G-3,5 header 10-pos 3.5mm (J3 fast in)",5,2.00,10.00,Y,"3.5mm pitch"
DigiKey,Phoenix Contact,1843729,order by MFR PN,"MCV 1,5/14-G-3,5 header 14-pos 3.5mm (J4 slow-A)",5,2.60,13.00,Y,"order by MFR PN; verify DK# at cart"
DigiKey,Phoenix Contact,1843703,order by MFR PN,"MCV 1,5/12-G-3,5 header 12-pos 3.5mm (J5 slow-B)",5,2.35,11.75,Y,"order by MFR PN"
DigiKey,Phoenix Contact,1843648,order by MFR PN,"MCV 1,5/6-G-3,5 header 6-pos 3.5mm (J13 LEDs)",5,1.50,7.50,Y,"order by MFR PN"
DigiKey,Phoenix Contact,1843622,order by MFR PN,"MCV 1,5/4-G-3,5 header 4-pos 3.5mm (J14 safety loop)",5,1.25,6.25,Y,"order by MFR PN; LCSC C480549"
DigiKey,Phoenix Contact,1840447,order by MFR PN,"MC 1,5/10-ST-3,5 screw plug (J3 mate)",4,11.00,44.00,N,"field harness; price varies $3-14, confirm at cart"
DigiKey,Phoenix Contact,1840489,order by MFR PN,"MC 1,5/14-ST-3,5 screw plug (J4 mate)",5,13.00,65.00,Y,"LAST-TIME-BUY/discontinued - buy now; no sub"
DigiKey,Phoenix Contact,1840463,order by MFR PN,"MC 1,5/12-ST-3,5 screw plug (J5 mate)",4,12.00,48.00,N,"field harness; confirm price"
DigiKey,Phoenix Contact,1840405,order by MFR PN,"MC 1,5/6-ST-3,5 screw plug (J13 mate)",4,8.00,32.00,N,"field harness"
DigiKey,Phoenix Contact,1840382,order by MFR PN,"MC 1,5/4-ST-3,5 screw plug (J14 mate, safety)",4,6.00,24.00,Y,"field harness"
DigiKey,CNC Tech,3020-20-0100-00,1175-1612-ND,"2x10 2.54mm box header, board-side (J1)",5,0.93,4.65,Y,"CANDIDATE - fit-check vs render first"
DigiKey,CNC Tech,3030-20-0102-00,verify at cart,"2x10 2.54mm IDC ribbon socket (board end of J1 cable)",10,0.61,6.10,Y,"verify DK# at cart"
DigiKey,generic,20cond-1.27mm-ribbon,-,"20-conductor 1.27mm flat ribbon cable, ~1m roll",1,10.00,10.00,Y,"for the custom J1<->Pi harness (see notes)"
DigiKey,Mean Well,HDR-30-5,1866-3554-ND,"DIN 5V/3A PSU - lane-pair board supply",2,18.69,37.38,Y,"trim up ~0.3V for SS14 drop; 1 live + 1 spare"
DigiKey,Mean Well,HDR-15-5,1866-3548-ND,"DIN 5V/2.4A PSU - single-board/bench",1,15.40,15.40,Y,""
DigiKey,Raspberry Pi,SC1111,2648-SC1111CT-ND,"Raspberry Pi 5 / 4GB - host per pair",2,60.00,120.00,Y,"CHECK Phase-8a Pi inventory first; AVOID 8GB SC1112 (~$175)"
DigiKey,Raspberry Pi,SC1153,2648-SC1153-ND,"Pi 5 27W USB-C PD supply (Pi's own power)",2,12.00,24.00,Y,"separate from board 5V rail"
