Ref,Function (SKiDL tag),Value,Footprint,X mm,Y mm,Rot,Side,Band,DNP
A1,RP_PICO,RP2040 Pico,RaspberryPi_Pico_SMD,100.00,33.00,0,top,LOGIC,
C1,C_MCP_IN_A,0.1uF,C_0805_2012Metric,116.00,92.00,0,top,LOGIC,
C2,C_MCP_IN_B,0.1uF,C_0805_2012Metric,113.00,130.00,0,top,LOGIC,
C3,C_MCP_OUT_A,0.1uF,C_0805_2012Metric,140.00,96.00,0,top,LOGIC,
C4,Csnub_S,10nF X2 DNP,C_0805_2012Metric,230.00,72.00,90,top,MACHINE,DNP
C5,Csnub_T,10nF X2 DNP,C_0805_2012Metric,230.00,94.00,90,top,MACHINE,DNP
C6,Csnub_SP,10nF X2 DNP,C_0805_2012Metric,230.00,116.00,90,top,MACHINE,DNP
C7,Csnub_BE,10nF X2 DNP,C_0805_2012Metric,230.00,138.00,90,top,MACHINE,DNP
C8,Csnub_M,10nF X2 DNP,C_0805_2012Metric,230.00,160.00,90,top,MACHINE,DNP
C9,Csnub_M2,10nF X2 DNP,C_0805_2012Metric,230.00,182.00,90,top,MACHINE,DNP
C10,Csnub_M1,10nF X2 DNP,C_0805_2012Metric,230.00,204.00,90,top,MACHINE,DNP
C11,C_WDOG_TIMING,100uF/16V,CP_Elec_6.3x5.4,156.00,42.00,90,top,LOGIC,
C12,C_WDOG_VCC,0.1uF,C_0805_2012Metric,156.00,67.00,90,top,LOGIC,
C13,C_WDOG_CTRL,10nF,C_0805_2012Metric,166.00,42.00,90,top,LOGIC,
C14,C_3V3_BULK,10uF,C_0805_2012Metric,140.00,78.00,0,top,LOGIC,
C15,C_ADC5,100nF,C_0805_2012Metric,117.00,44.00,90,top,LOGIC,
C16,C_I2C_BUF,0.1uF,C_0805_2012Metric,133.40,216.40,90,top,LOGIC,
D1,Dfly_S,1N4148,D_SOD-323,164.00,78.00,0,top,LOGIC,
D2,MOV_S,MOV DNP,D_SMA,222.00,80.00,90,top,MACHINE,DNP
D3,Dfly_T,1N4148,D_SOD-323,164.00,100.00,0,top,LOGIC,
D4,MOV_T,MOV DNP,D_SMA,222.00,102.00,90,top,MACHINE,DNP
D5,Dfly_SP,1N4148,D_SOD-323,164.00,122.00,0,top,LOGIC,
D6,MOV_SP,MOV DNP,D_SMA,222.00,124.00,90,top,MACHINE,DNP
D7,Dfly_BE,1N4148,D_SOD-323,164.00,144.00,0,top,LOGIC,
D8,MOV_BE,MOV DNP,D_SMA,222.00,146.00,90,top,MACHINE,DNP
D9,Dfly_M,1N4148,D_SOD-323,164.00,166.00,0,top,LOGIC,
D10,MOV_M,MOV DNP,D_SMA,222.00,168.00,90,top,MACHINE,DNP
