Ref,Qty,Role,Manufacturer,MFR Part #,Description,Source,Status,Notes,URL
A1,1,RP2040 module,Raspberry Pi,SC0915,"Raspberry Pi Pico, castellated module, no pre-soldered headers",DigiKey 2648-SC0915CT-ND or official Raspberry Pi reseller,Locked,Program after assembly; do not use Pico H/WH with header pins.,https://www.digikey.com/en/products/detail/raspberry-pi/SC0915/13684020
J1,1,Pi IDC/header,CNC Tech candidate,3020-20-0100-00,20-position 2x10 2.54mm vertical through-hole box/IDC header candidate,DigiKey 1175-1612-ND candidate,Candidate - verify body/keying,"Verify shroud, key slot, pin-1 orientation, and body keepout against KiCad footprint/render before ordering.",https://www.digikey.com/en/products/detail/cnc-tech/3020-20-0100-00/3441738
J2,1,5V power terminal,Phoenix Contact,1715734,"MKDS 1,5/ 3-5,08, 3-position fixed screw terminal block, 5.08mm pitch",Phoenix / Newark / DigiKey / Mouser equivalent,Locked - footprint verify at order,Fixed screw terminal; no off-board plug. Verify wire-entry direction.,https://www.phoenixcontact.com/us/products/1715734/pdf
J3,1,FAST field input header,Phoenix Contact,1843680,"MCV 1,5/10-G-3,5, 10-position vertical PCB header, 3.5mm pitch",Phoenix Contact,Locked,"Order matching MC 1,5/10-ST-3,5 plug separately.",https://www.phoenixcontact.com/en-us/products/pcb-header-mcv-1510-g-35-1843680
J4,1,SLOW A field input header,Phoenix Contact,1843729,"MCV 1,5/14-G-3,5, 14-position vertical PCB header, 3.5mm pitch",Phoenix Contact,Locked,"Order matching MC 1,5/14-ST-3,5 plug separately.",https://www.phoenixcontact.com/en-us/products/pcb-header-mcv-1514-g-35-1843729
J5,1,SLOW B field input header,Phoenix Contact,1843703,"MCV 1,5/12-G-3,5, 12-position vertical PCB header, 3.5mm pitch",Phoenix Contact,Locked,"Order matching MC 1,5/12-ST-3,5 plug separately.",https://www.phoenixcontact.com/en-us/products/pcb-header-mcv-1512-g-35-1843703
"J6,J7,J8,J9,J10,J11",6,Machine output terminals,Phoenix Contact,1715721,"MKDS 1,5/ 2-5,08, 2-position fixed screw terminal block, 5.08mm pitch",Phoenix / LCSC C5183929 / DigiKey / Mouser equivalent,Locked - footprint verify at order,Fixed screw terminal; no off-board plug. Verify wire-entry direction.,https://www.phoenixcontact.com/en-us/products/printed-circuit-board-terminal-mkds-15-2-508-1715721?type=pdf
J13,1,LED lamp header,Phoenix Contact,1843648,"MCV 1,5/ 6-G-3,5, 6-position vertical PCB header, 3.5mm pitch",Phoenix Contact,Locked,"Order matching MC 1,5/ 6-ST-3,5 plug separately.",https://www.phoenixcontact.com/en-pc/products/printed-circuit-board-connector-mcv-15-6-g-35-1843648
J14,1,Safety loop header,Phoenix Contact,1843622,"MCV 1,5/ 4-G-3,5, 4-position vertical PCB header, 3.5mm pitch",Phoenix Contact,Locked,"Order matching MC 1,5/ 4-ST-3,5 plug separately.",https://www.phoenixcontact.com/en-us/products/pcb-header-mcv-15-4-g-35-1843622
U37,1,Isolated field supply,TRACO Power,TMA 0505S,"Isolated 5V-to-5V 1W SIP DC/DC converter, 5V 200mA output",DigiKey 1951-1003-ND / TME / Mouser equivalent,Locked exact part,Do not substitute without pinout and isolation review.,https://www.digikey.com/en/products/detail/traco-power/TMA-0505S/9324924
