Comment,Designator,Footprint,Quantity,LCSC Part #,MFR Part #,Manufacturer,JLC Class,Notes
100nF 50V X7R +/-10% 0805 MLCC,"C1,C2,C3,C12",C_0805_2012Metric,4,C49678,CC0805KRX7R9BB104,YAGEO,Basic,"Basic, high-stock 0805 decoupler."
"100uF 16V +/-20% SMD aluminum electrolytic, D6.3xL5.4mm",C11,CP_Elec_6.3x5.4,1,C19184134,CK1C101M-CRE54,RS,Extended,Polarized; verify positive mark and package preview before order.
10nF 50V X7R +/-10% 0805 MLCC,C13,C_0805_2012Metric,1,C17702767,C0805B103K500NT,TORCH,Extended,
10uF 16V X5R +/-10% 0805 MLCC,C14,C_0805_2012Metric,1,C89827,CC0805KKX5R7BB106,YAGEO,Extended,Verify DC-bias derating remains acceptable on the 5V rail.
"1N4148WS switching diode, SOD-323","D1,D3,D5,D7,D9,D11,D15,D16",D_SOD-323,8,C118873,1N4148WS,onsemi,Extended,
"SS14 Schottky diode, SMA/DO-214AC",D17,D_SMA,1,C2480,SS14,MDD,Basic,
"G5LE-14 5VDC SPDT relay, wave solder","K1,K2,K3,K4,K5,K6",Relay_SPDT_Omron-G5LE-1,6,C116963,G5LE-14 5VDC,Omron Electronics,Extended,Critical: 5VDC coil. Do not substitute 9V/12V/24V coil.
"MMBT3904 NPN BJT, SOT-23","Q1,Q2,Q3,Q4,Q5,Q6,Q15,Q16",SOT-23,8,C909754,MMBT3904,GOODWORK,Extended,
"2N7002 N-channel MOSFET, SOT-23","Q8,Q9,Q10,Q11",SOT-23,4,C916396,2N7002,JSMSEMI,Extended,
"AO3400A N-channel logic MOSFET, SOT-23","Q12,Q13",SOT-23,2,C20917,AO3400A,Alpha & Omega Semicon,Basic,
"AO3401A P-channel MOSFET, SOT-23",Q14,SOT-23,1,C347476,AO3401A,UMW,Extended,
4.7k 1% 1/8W 0805 resistor,"R1,R2",R_0805_2012Metric,2,C17673,0805W8F4701T5E,UNI-ROYAL,Basic,
2.2k 1% 1/8W 0805 resistor,"R3,R5,R7,R9,R11,R13,R15,R17,R19,R21,R23,R25,R27,R29,R31,R33,R35,R37,R39,R41,R43,R45,R47,R49,R51,R53,R55,R57,R59,R61,R63,R65",R_0805_2012Metric,32,C17520,0805W8F2201T5E,UNI-ROYAL,Basic,
10k 1% 1/8W 0805 resistor,"R4,R6,R8,R10,R12,R14,R16,R18,R20,R22,R24,R26,R28,R30,R32,R34,R36,R38,R40,R42,R44,R46,R48,R50,R52,R54,R56,R58,R60,R62,R64,R66,R101,R103,R105,R107,R109",R_0805_2012Metric,37,C17414,0805W8F1002T5E,UNI-ROYAL,Basic,
1k 1% 1/8W 0805 resistor,"R67,R70,R73,R76,R79,R82,R88,R91,R94,R97,R102,R104",R_0805_2012Metric,12,C17513,0805W8F1001T5E,UNI-ROYAL,Basic,
100k 1% 1/8W 0805 resistor,"R68,R71,R74,R77,R80,R83,R89,R92,R95,R98,R100,R106,R108,R110",R_0805_2012Metric,14,C149504,0805W8F1003T5E,UNI-ROYAL,Basic,
330R 1% 1/8W 0805 resistor,"R90,R93,R96,R99",R_0805_2012Metric,4,C17630,0805W8F3300T5E,UNI-ROYAL,Basic,
"MCP23017 I2C I/O expander, SOIC-28-300mil","U1,U2,U3",SOIC-28W_7.5x17.9mm_P1.27mm,3,C47023,MCP23017-E/SO,Microchip Tech,Extended,"Critical: I2C MCP23017, not SPI MCP23S17."
"PC817B optocoupler, DIP-4, wave solder","U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35",DIP-4_W7.62mm,32,C5692981,PC817B,UMW,Extended,Confirm DIP-4 preview/orientation; CTR bin must be accepted with Rev-B field resistors.
"NE555 bipolar timer, SOIC-8",U36,SOIC-8_3.9x4.9mm_P1.27mm,1,C7593,NE555DR,Texas Instruments,Extended,Bipolar 555 selected; avoid CMOS/TLC555 timing change unless revalidated.
