Designator,Mid X,Mid Y,Layer,Rotation
C1,116.000000,-92.000000,Top,0.000000
C2,113.000000,-130.000000,Top,0.000000
C3,140.000000,-96.000000,Top,0.000000
C11,156.000000,-42.000000,Top,90.000000
C12,156.000000,-67.000000,Top,90.000000
C13,166.000000,-42.000000,Top,90.000000
C14,140.000000,-78.000000,Top,0.000000
D1,164.000000,-78.000000,Top,0.000000
D3,164.000000,-100.000000,Top,0.000000
D5,164.000000,-122.000000,Top,0.000000
D7,164.000000,-144.000000,Top,0.000000
D9,164.000000,-166.000000,Top,0.000000
D11,164.000000,-188.000000,Top,0.000000
D15,152.000000,-35.000000,Top,0.000000
D16,159.000000,-35.000000,Top,0.000000
D17,101.000000,-24.000000,Top,0.000000
K1,176.000000,-72.000000,Top,90.000000
K2,176.000000,-94.000000,Top,90.000000
K3,176.000000,-116.000000,Top,90.000000
K4,176.000000,-138.000000,Top,90.000000
K5,176.000000,-160.000000,Top,90.000000
K6,176.000000,-182.000000,Top,90.000000
Q1,160.000000,-67.000000,Top,0.000000
Q2,160.000000,-89.000000,Top,0.000000
Q3,160.000000,-111.000000,Top,0.000000
Q4,160.000000,-133.000000,Top,0.000000
Q5,160.000000,-155.000000,Top,0.000000
Q6,160.000000,-177.000000,Top,0.000000
Q8,104.000000,-198.000000,Top,0.000000
Q9,116.000000,-198.000000,Top,0.000000
Q10,128.000000,-198.000000,Top,0.000000
Q11,140.000000,-198.000000,Top,0.000000
Q12,142.000000,-58.000000,Top,0.000000
Q13,162.000000,-58.000000,Top,0.000000
Q14,158.000000,-82.000000,Top,0.000000
Q15,143.000000,-92.000000,Top,0.000000
Q16,160.000000,-96.000000,Top,0.000000
R1,103.000000,-86.000000,Top,90.000000
R2,110.000000,-86.000000,Top,90.000000
R3,58.000000,-22.200000,Top,0.000000
R4,92.000000,-25.800000,Top,0.000000
R5,58.000000,-28.200000,Top,0.000000
R6,92.000000,-31.800000,Top,0.000000
R7,58.000000,-34.200000,Top,0.000000
R8,92.000000,-37.800000,Top,0.000000
R9,58.000000,-40.200000,Top,0.000000
R10,92.000000,-43.800000,Top,0.000000
R11,58.000000,-46.200000,Top,0.000000
R12,92.000000,-49.800000,Top,0.000000
R13,58.000000,-52.200000,Top,0.000000
R14,92.000000,-55.800000,Top,0.000000
R15,58.000000,-58.200000,Top,0.000000
R16,92.000000,-61.800000,Top,0.000000
R17,58.000000,-64.200000,Top,0.000000
R18,92.000000,-67.800000,Top,0.000000
R19,58.000000,-70.200000,Top,0.000000
R20,92.000000,-73.800000,Top,0.000000
R21,58.000000,-76.200000,Top,0.000000
R22,92.000000,-79.800000,Top,0.000000
R23,58.000000,-82.200000,Top,0.000000
R24,92.000000,-85.800000,Top,0.000000
R25,58.000000,-88.200000,Top,0.000000
R26,92.000000,-91.800000,Top,0.000000
R27,58.000000,-94.200000,Top,0.000000
R28,92.000000,-97.800000,Top,0.000000
R29,58.000000,-100.200000,Top,0.000000
R30,92.000000,-103.800000,Top,0.000000
R31,58.000000,-106.200000,Top,0.000000
R32,92.000000,-109.800000,Top,0.000000
R33,58.000000,-112.200000,Top,0.000000
R34,92.000000,-115.800000,Top,0.000000
R35,58.000000,-118.200000,Top,0.000000
R36,92.000000,-121.800000,Top,0.000000
R37,58.000000,-124.200000,Top,0.000000
R38,92.000000,-127.800000,Top,0.000000
R39,58.000000,-130.199999,Top,0.000000
R40,92.000000,-133.800000,Top,0.000000
R41,58.000000,-136.200000,Top,0.000000
R42,92.000000,-139.800000,Top,0.000000
R43,58.000000,-142.200000,Top,0.000000
R44,92.000000,-145.800000,Top,0.000000
R45,58.000000,-148.200000,Top,0.000000
R46,92.000000,-151.800000,Top,0.000000
R47,58.000000,-154.200000,Top,0.000000
R48,92.000000,-157.800000,Top,0.000000
R49,58.000000,-160.200000,Top,0.000000
R50,92.000000,-163.800000,Top,0.000000
R51,58.000000,-166.200000,Top,0.000000
R52,92.000000,-169.800000,Top,0.000000
R53,58.000000,-172.200000,Top,0.000000
R54,92.000000,-175.800000,Top,0.000000
R55,58.000000,-178.200000,Top,0.000000
R56,92.000000,-181.800000,Top,0.000000
R57,58.000000,-184.200000,Top,0.000000
R58,92.000000,-187.800000,Top,0.000000
R59,58.000000,-190.200000,Top,0.000000
R60,92.000000,-193.800000,Top,0.000000
R61,58.000000,-196.200000,Top,0.000000
R62,92.000000,-199.800000,Top,0.000000
R63,58.000000,-202.200000,Top,0.000000
R64,92.000000,-205.800000,Top,0.000000
R65,58.000000,-208.200000,Top,0.000000
R66,92.000000,-211.800000,Top,0.000000
R67,150.000000,-65.000000,Top,90.000000
R68,150.000000,-71.000000,Top,90.000000
R70,150.000000,-87.000000,Top,90.000000
R71,150.000000,-93.000000,Top,90.000000
R73,150.000000,-109.000000,Top,90.000000
R74,150.000000,-115.000000,Top,90.000000
R76,150.000000,-131.000000,Top,90.000000
R77,150.000000,-137.000000,Top,90.000000
R79,150.000000,-153.000000,Top,90.000000
R80,150.000000,-159.000000,Top,90.000000
R82,150.000000,-175.000000,Top,90.000000
R83,150.000000,-181.000000,Top,90.000000
R88,101.000000,-190.000000,Top,90.000000
R89,107.000000,-190.000000,Top,90.000000
R90,104.000000,-182.000000,Top,0.000000
R91,113.000000,-190.000000,Top,90.000000
R92,119.000000,-190.000000,Top,90.000000
R93,116.000000,-182.000000,Top,0.000000
R94,125.000000,-190.000000,Top,90.000000
R95,131.000000,-190.000000,Top,90.000000
R96,128.000000,-182.000000,Top,0.000000
R97,137.000000,-190.000000,Top,90.000000
R98,143.000000,-190.000000,Top,90.000000
R99,140.000000,-182.000000,Top,0.000000
R100,146.000000,-40.000000,Top,90.000000
R101,145.000000,-78.000000,Top,90.000000
R102,142.000000,-47.000000,Top,90.000000
R103,142.000000,-70.000000,Top,90.000000
R104,162.000000,-47.000000,Top,90.000000
R105,162.000000,-70.000000,Top,90.000000
R106,148.000000,-82.000000,Top,90.000000
R107,133.000000,-90.000000,Top,90.000000
R108,133.000000,-98.000000,Top,90.000000
R109,170.000000,-90.000000,Top,90.000000
R110,170.000000,-98.000000,Top,90.000000
U1,122.000000,-104.000000,Top,0.000000
U2,122.000000,-146.000000,Top,0.000000
U3,140.000000,-112.000000,Top,0.000000
U4,74.000000,-24.000000,Top,0.000000
U5,74.000000,-30.000000,Top,0.000000
U6,74.000000,-36.000000,Top,0.000000
U7,74.000000,-42.000000,Top,0.000000
U8,74.000000,-48.000000,Top,0.000000
U9,74.000000,-54.000000,Top,0.000000
U10,74.000000,-60.000000,Top,0.000000
U11,74.000000,-66.000000,Top,0.000000
U12,74.000000,-72.000000,Top,0.000000
U13,74.000000,-78.000000,Top,0.000000
U14,74.000000,-84.000000,Top,0.000000
U15,74.000000,-90.000000,Top,0.000000
U16,74.000000,-96.000000,Top,0.000000
U17,74.000000,-102.000000,Top,0.000000
U18,74.000000,-108.000000,Top,0.000000
U19,74.000000,-114.000000,Top,0.000000
U20,74.000000,-120.000000,Top,0.000000
U21,74.000000,-126.000000,Top,0.000000
U22,74.000000,-132.000000,Top,0.000000
U23,74.000000,-138.000000,Top,0.000000
U24,74.000000,-144.000000,Top,0.000000
U25,74.000000,-150.000000,Top,0.000000
U26,74.000000,-156.000000,Top,0.000000
