LCSC Part #,MFR Part #,Manufacturer,JLC Class,Locked Spec,Quantity,Designators,Notes
C49678,CC0805KRX7R9BB104,YAGEO,Basic,100nF 50V X7R +/-10% 0805 MLCC,4,"C1,C2,C3,C12","Basic, high-stock 0805 decoupler."
C19184134,CK1C101M-CRE54,RS,Extended,"100uF 16V +/-20% SMD aluminum electrolytic, D6.3xL5.4mm",1,C11,Polarized; verify positive mark and package preview before order.
C17702767,C0805B103K500NT,TORCH,Extended,10nF 50V X7R +/-10% 0805 MLCC,1,C13,
C89827,CC0805KKX5R7BB106,YAGEO,Extended,10uF 16V X5R +/-10% 0805 MLCC,1,C14,Verify DC-bias derating remains acceptable on the 5V rail.
C118873,1N4148WS,onsemi,Extended,"1N4148WS switching diode, SOD-323",8,"D1,D3,D5,D7,D9,D11,D15,D16",
C2480,SS14,MDD,Basic,"SS14 Schottky diode, SMA/DO-214AC",1,D17,
C116963,G5LE-14 5VDC,Omron Electronics,Extended,"G5LE-14 5VDC SPDT relay, wave solder",6,"K1,K2,K3,K4,K5,K6",Critical: 5VDC coil. Do not substitute 9V/12V/24V coil.
C909754,MMBT3904,GOODWORK,Extended,"MMBT3904 NPN BJT, SOT-23",8,"Q1,Q2,Q3,Q4,Q5,Q6,Q15,Q16",
C916396,2N7002,JSMSEMI,Extended,"2N7002 N-channel MOSFET, SOT-23",4,"Q8,Q9,Q10,Q11",
C20917,AO3400A,Alpha & Omega Semicon,Basic,"AO3400A N-channel logic MOSFET, SOT-23",2,"Q12,Q13",
C347476,AO3401A,UMW,Extended,"AO3401A P-channel MOSFET, SOT-23",1,Q14,
C17673,0805W8F4701T5E,UNI-ROYAL,Basic,4.7k 1% 1/8W 0805 resistor,2,"R1,R2",
C17520,0805W8F2201T5E,UNI-ROYAL,Basic,2.2k 1% 1/8W 0805 resistor,32,"R3,R5,R7,R9,R11,R13,R15,R17,R19,R21,R23,R25,R27,R29,R31,R33,R35,R37,R39,R41,R43,R45,R47,R49,R51,R53,R55,R57,R59,R61,R63,R65",
C17414,0805W8F1002T5E,UNI-ROYAL,Basic,10k 1% 1/8W 0805 resistor,37,"R4,R6,R8,R10,R12,R14,R16,R18,R20,R22,R24,R26,R28,R30,R32,R34,R36,R38,R40,R42,R44,R46,R48,R50,R52,R54,R56,R58,R60,R62,R64,R66,R101,R103,R105,R107,R109",
C17513,0805W8F1001T5E,UNI-ROYAL,Basic,1k 1% 1/8W 0805 resistor,12,"R67,R70,R73,R76,R79,R82,R88,R91,R94,R97,R102,R104",
C149504,0805W8F1003T5E,UNI-ROYAL,Basic,100k 1% 1/8W 0805 resistor,14,"R68,R71,R74,R77,R80,R83,R89,R92,R95,R98,R100,R106,R108,R110",
C17630,0805W8F3300T5E,UNI-ROYAL,Basic,330R 1% 1/8W 0805 resistor,4,"R90,R93,R96,R99",
C47023,MCP23017-E/SO,Microchip Tech,Extended,"MCP23017 I2C I/O expander, SOIC-28-300mil",3,"U1,U2,U3","Critical: I2C MCP23017, not SPI MCP23S17."
C5692981,PC817B,UMW,Extended,"PC817B optocoupler, DIP-4, wave solder",32,"U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35",Confirm DIP-4 preview/orientation; CTR bin must be accepted with Rev-B field resistors.
C7593,NE555DR,Texas Instruments,Extended,"NE555 bipolar timer, SOIC-8",1,U36,Bipolar 555 selected; avoid CMOS/TLC555 timing change unless revalidated.
