Comment,Designator,Footprint,Quantity,Assembly Bucket,Source Strategy,Purchase Spec,Candidate MPN,Candidate JLCPCB Part #,LCSC Part #,Notes
0.1uF,"C1,C2,C3,C12",C_0805_2012Metric,4,SMT candidate,JLC/LCSC stock,"0.1uF 0805 MLCC, X7R/X5R, 16V minimum",,,,
100k,"R68,R71,R74,R77,R80,R83,R89,R92,R95,R98,R100,R106,R108,R110",R_0805_2012Metric,14,SMT candidate,JLC/LCSC stock,"100k 0805 resistor, 1%, 1/8W minimum",,,,
10k,"R4,R6,R8,R10,R12,R14,R16,R18,R20,R22,R24,R26,R28,R30,R32,R34,R36,R38,R40,R42,R44,R46,R48,R50,R52,R54,R56,R58,R60,R62,R64,R66,R101,R103,R105,R107,R109",R_0805_2012Metric,37,SMT candidate,JLC/LCSC stock,"10k 0805 resistor, 1%, 1/8W minimum",,,,
10nF,C13,C_0805_2012Metric,1,SMT candidate,JLC/LCSC stock,"10nF 0805 MLCC, X7R/C0G, 50V preferred",,,,
10uF,C14,C_0805_2012Metric,1,SMT candidate,JLC/LCSC stock,"10uF 0805 MLCC, X5R/X7R, 16V preferred",,,,Verify DC-bias derating is acceptable on 5V rail.
1N4148,"D1,D3,D5,D7,D9,D11,D15,D16",D_SOD-323,8,SMT candidate,JLC/LCSC stock,"1N4148WS or equivalent small-signal diode, SOD-323",,JLC candidate C118873,,
1k,"R67,R70,R73,R76,R79,R82,R88,R91,R94,R97,R102,R104",R_0805_2012Metric,12,SMT candidate,JLC/LCSC stock,"1k 0805 resistor, 1%, 1/8W minimum",,,,
2N7002 LED L_FIRST,Q8,SOT-23,1,SMT candidate,JLC/LCSC stock,"2N7002 N-channel MOSFET, SOT-23",,JLC candidate C916396,,
2N7002 LED L_FOUL,Q11,SOT-23,1,SMT candidate,JLC/LCSC stock,"2N7002 N-channel MOSFET, SOT-23",,JLC candidate C916396,,
2N7002 LED L_SECOND,Q9,SOT-23,1,SMT candidate,JLC/LCSC stock,"2N7002 N-channel MOSFET, SOT-23",,JLC candidate C916396,,
2N7002 LED L_STRIKE,Q10,SOT-23,1,SMT candidate,JLC/LCSC stock,"2N7002 N-channel MOSFET, SOT-23",,JLC candidate C916396,,
2k2,"R3,R5,R7,R9,R11,R13,R15,R17,R19,R21,R23,R25,R27,R29,R31,R33,R35,R37,R39,R41,R43,R45,R47,R49,R51,R53,R55,R57,R59,R61,R63,R65",R_0805_2012Metric,32,SMT candidate,JLC/LCSC stock,"2k2 0805 resistor, 1%, 1/8W minimum",,,,
330R,"R90,R93,R96,R99",R_0805_2012Metric,4,SMT candidate,JLC/LCSC stock,"330R 0805 resistor, 1%, 1/8W minimum",,,,
4.7k,"R1,R2",R_0805_2012Metric,2,SMT candidate,JLC/LCSC stock,"4.7k 0805 resistor, 1%, 1/8W minimum",,,,
AO3400A kick,Q12,SOT-23,1,SMT candidate,JLC/LCSC stock,"AO3400A or equivalent logic-level N-channel MOSFET, SOT-23",,JLC candidate C20917,,
AO3400A wdog,Q13,SOT-23,1,SMT candidate,JLC/LCSC stock,"AO3400A or equivalent logic-level N-channel MOSFET, SOT-23",,JLC candidate C20917,,
AO3401A rail pass,Q14,SOT-23,1,SMT candidate,JLC/LCSC stock,"AO3401A or equivalent P-channel MOSFET, SOT-23",,JLC candidate C347476,,
MMBT3904 AND ARM,Q15,SOT-23,1,SMT candidate,JLC/LCSC stock,"MMBT3904 NPN transistor, SOT-23",,JLC candidate C909754,,
MMBT3904 AND RP_OK,Q16,SOT-23,1,SMT candidate,JLC/LCSC stock,"MMBT3904 NPN transistor, SOT-23",,JLC candidate C909754,,
MMBT3904 BE,Q4,SOT-23,1,SMT candidate,JLC/LCSC stock,"MMBT3904 NPN transistor, SOT-23",,JLC candidate C909754,,
MMBT3904 M,Q5,SOT-23,1,SMT candidate,JLC/LCSC stock,"MMBT3904 NPN transistor, SOT-23",,JLC candidate C909754,,
MMBT3904 M2,Q6,SOT-23,1,SMT candidate,JLC/LCSC stock,"MMBT3904 NPN transistor, SOT-23",,JLC candidate C909754,,
MMBT3904 S,Q1,SOT-23,1,SMT candidate,JLC/LCSC stock,"MMBT3904 NPN transistor, SOT-23",,JLC candidate C909754,,
MMBT3904 SP,Q3,SOT-23,1,SMT candidate,JLC/LCSC stock,"MMBT3904 NPN transistor, SOT-23",,JLC candidate C909754,,
MMBT3904 T,Q2,SOT-23,1,SMT candidate,JLC/LCSC stock,"MMBT3904 NPN transistor, SOT-23",,JLC candidate C909754,,
NE555,U36,SOIC-8_3.9x4.9mm_P1.27mm,1,SMT candidate,JLC/LCSC stock,"NE555 timer, SOIC-8",NE555D / TLC555-compatible only if timing verified,,,No locked JLC part yet; select an in-stock bipolar 555 compatible with the watchdog timing circuit.
SS14,D17,D_SMA,1,SMT candidate,JLC/LCSC stock,"SS14 Schottky diode, SMA",,JLC candidate C2480,,
100uF/16V,C11,CP_Elec_6.3x5.4,1,SMT candidate - verify footprint,JLC/LCSC stock or exact substitute,"100uF 16V SMD electrolytic, 6.3x5.4mm footprint",,,,Polarized part; verify can diameter and pad geometry against selected part.
MCP23017 MCP_IN_A,U1,SOIC-28W_7.5x17.9mm_P1.27mm,1,SMT candidate - stock verify,JLC/LCSC stock or pre-order,"MCP23017 I/O expander, SOIC-28W 7.5mm body, 1.27mm pitch",MCP23017-E/SO or MCP23017T-E/SO,JLC candidate C47023,,Confirm package width and I2C address variant; do not substitute SPI MCP23S17.
