Designator,Value,Footprint,Reason
C4,10nF X2 DNP,C_0805_2012Metric,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
C5,10nF X2 DNP,C_0805_2012Metric,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
C6,10nF X2 DNP,C_0805_2012Metric,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
C7,10nF X2 DNP,C_0805_2012Metric,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
C8,10nF X2 DNP,C_0805_2012Metric,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
C9,10nF X2 DNP,C_0805_2012Metric,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
C10,10nF X2 DNP,C_0805_2012Metric,M1 optional channel (never metered; populate only after runbook 3.6)
D2,MOV DNP,D_SMA,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
D4,MOV DNP,D_SMA,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
D6,MOV DNP,D_SMA,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
D8,MOV DNP,D_SMA,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
D10,MOV DNP,D_SMA,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
D12,MOV DNP,D_SMA,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
D13,1N4148,D_SOD-323,M1 optional channel (never metered; populate only after runbook 3.6)
D14,MOV DNP,D_SMA,M1 optional channel (never metered; populate only after runbook 3.6)
J12,J_MOTION_M1 5.08mm,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",M1 optional channel (never metered; populate only after runbook 3.6)
K7,G5LE M1 DNP,Relay_SPDT_Omron-G5LE-1,M1 optional channel (never metered; populate only after runbook 3.6)
Q7,MMBT3904 M1,SOT-23,M1 optional channel (never metered; populate only after runbook 3.6)
R85,100R DNP,R_0805_2012Metric,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
R88,100R DNP,R_0805_2012Metric,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
R91,100R DNP,R_0805_2012Metric,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
R94,100R DNP,R_0805_2012Metric,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
R97,100R DNP,R_0805_2012Metric,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
R100,100R DNP,R_0805_2012Metric,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
R101,1k,R_0805_2012Metric,M1 optional channel (never metered; populate only after runbook 3.6)
R102,100k,R_0805_2012Metric,M1 optional channel (never metered; populate only after runbook 3.6)
R103,100R DNP,R_0805_2012Metric,M1 optional channel (never metered; populate only after runbook 3.6)
