Ref,Val,Package,PosX,PosY,Rot,Side
"A1","RP2040 Pico","RaspberryPi_Pico_SMD",100.000000,-33.000000,0.000000,top
"C1","0.1uF","C_0805_2012Metric",116.000000,-92.000000,0.000000,top
"C2","0.1uF","C_0805_2012Metric",113.000000,-130.000000,0.000000,top
"C3","0.1uF","C_0805_2012Metric",140.000000,-96.000000,0.000000,top
"C11","100uF/16V","CP_Elec_6.3x5.4",156.000000,-42.000000,90.000000,top
"C12","0.1uF","C_0805_2012Metric",156.000000,-67.000000,90.000000,top
"C13","10nF","C_0805_2012Metric",166.000000,-42.000000,90.000000,top
"C14","10uF","C_0805_2012Metric",140.000000,-78.000000,0.000000,top
"C15","100nF","C_0805_2012Metric",117.000000,-44.000000,90.000000,top
"C16","0.1uF","C_0805_2012Metric",133.400000,-216.400000,90.000000,top
"D1","1N4148","D_SOD-323",164.000000,-78.000000,0.000000,top
"D3","1N4148","D_SOD-323",164.000000,-100.000000,0.000000,top
"D5","1N4148","D_SOD-323",164.000000,-122.000000,0.000000,top
"D7","1N4148","D_SOD-323",164.000000,-144.000000,0.000000,top
"D9","1N4148","D_SOD-323",164.000000,-166.000000,0.000000,top
"D11","1N4148","D_SOD-323",164.000000,-188.000000,0.000000,top
"D15","1N4148","D_SOD-323",152.000000,-35.000000,0.000000,top
"D16","1N4148","D_SOD-323",159.000000,-35.000000,0.000000,top
"D17","SS34","D_SMA",122.000000,-20.000000,0.000000,top
"F1","1206L020YR 200mA","Fuse_1206_3216Metric",122.600000,-220.500000,-90.000000,top
"J1","J_PI","IDC-Header_2x10_P2.54mm_Vertical",135.500000,-10.000000,90.000000,top
"J2","J_PWR 5V","TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",116.000000,-10.000000,0.000000,top
"J3","J_FAST_IN","PhoenixContact_MCV_1,5_10-G-3.5_1x10_P3.50mm_Vertical_D1.4",9.000000,-42.000000,90.000000,top
"J4","J_SLOW_IN_A","PhoenixContact_MCV_1,5_14-G-3.5_1x14_P3.50mm_Vertical_D1.4",9.000000,-103.000000,90.000000,top
"J5","J_SLOW_IN_B","PhoenixContact_MCV_1,5_12-G-3.5_1x12_P3.50mm_Vertical_D1.4",9.000000,-168.000000,90.000000,top
"J6","J_MOTION_S 5.08mm","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",242.000000,-68.000000,-90.000000,top
"J7","J_MOTION_T 5.08mm","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",242.000000,-90.000000,-90.000000,top
"J8","J_MOTION_SP 5.08mm","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",242.000000,-112.000000,-90.000000,top
"J9","J_MOTION_BE 5.08mm","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",242.000000,-134.000000,-90.000000,top
"J10","J_MOTION_M 5.08mm","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",242.000000,-156.000000,-90.000000,top
"J11","J_MOTION_M2 5.08mm","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",242.000000,-178.000000,-90.000000,top
"J13","J_LAMP_LED","PhoenixContact_MCV_1,5_6-G-3.5_1x06_P3.50mm_Vertical_D1.4",104.000000,-206.000000,0.000000,top
"J14","J_SAFETY","PhoenixContact_MCV_1,5_4-G-3.5_1x04_P3.50mm_Vertical_D1.4",167.000000,-10.000000,0.000000,top
"J15","J_SLOW_IN_C","PhoenixContact_MCV_1,5_10-G-3.5_1x10_P3.50mm_Vertical_D1.4",9.000000,-222.000000,90.000000,top
"J16","J_EXT_I2C","PhoenixContact_MCV_1,5_6-G-3.5_1x06_P3.50mm_Vertical_D1.4",128.000000,-206.000000,0.000000,top
"K1","G5LE S","Relay_SPDT_Omron-G5LE-1",176.000000,-72.000000,90.000000,top
"K2","G5LE T","Relay_SPDT_Omron-G5LE-1",176.000000,-94.000000,90.000000,top
"K3","G5LE SP","Relay_SPDT_Omron-G5LE-1",176.000000,-116.000000,90.000000,top
"K4","G5LE BE","Relay_SPDT_Omron-G5LE-1",176.000000,-138.000000,90.000000,top
"K5","G5LE M","Relay_SPDT_Omron-G5LE-1",176.000000,-160.000000,90.000000,top
"K6","G5LE M2","Relay_SPDT_Omron-G5LE-1",176.000000,-182.000000,90.000000,top
"Q1","MMBT3904 S","SOT-23",160.000000,-67.000000,0.000000,top
"Q2","MMBT3904 T","SOT-23",160.000000,-89.000000,0.000000,top
"Q3","MMBT3904 SP","SOT-23",160.000000,-111.000000,0.000000,top
"Q4","MMBT3904 BE","SOT-23",160.000000,-133.000000,0.000000,top
"Q5","MMBT3904 M","SOT-23",160.000000,-155.000000,0.000000,top
"Q6","MMBT3904 M2","SOT-23",160.000000,-177.000000,0.000000,top
"Q8","2N7002 LED L_FIRST","SOT-23",104.000000,-198.000000,0.000000,top
"Q9","2N7002 LED L_SECOND","SOT-23",116.000000,-198.000000,0.000000,top
"Q10","2N7002 LED L_STRIKE","SOT-23",128.000000,-198.000000,0.000000,top
"Q11","2N7002 LED L_FOUL","SOT-23",140.000000,-198.000000,0.000000,top
"Q12","AO3400A kick","SOT-23",142.000000,-58.000000,0.000000,top
"Q13","AO3400A wdog","SOT-23",162.000000,-58.000000,0.000000,top
"Q14","AO3401A rail pass","SOT-23",158.000000,-82.000000,0.000000,top
"Q15","MMBT3904 AND ARM","SOT-23",143.000000,-92.000000,0.000000,top
"Q16","MMBT3904 AND RP_OK","SOT-23",160.000000,-96.000000,0.000000,top
"Q17","2N7002LT1G TAP 555","SOT-23",116.000000,-52.000000,180.000000,top
"Q18","2N7002LT1G TAP KICK","SOT-23",116.000000,-56.000000,180.000000,top
"Q19","2N7002LT1G TAP ARM","SOT-23",116.000000,-60.000000,180.000000,top
"Q20","2N7002LT1G TAP RPOK","SOT-23",116.000000,-64.000000,180.000000,top
"R1","4.7k","R_0805_2012Metric",103.000000,-86.000000,90.000000,top
"R2","4.7k","R_0805_2012Metric",110.000000,-86.000000,90.000000,top
"R3","2k2","R_0805_2012Metric",58.000000,-11.200000,0.000000,top
"R4","10k","R_0805_2012Metric",86.000000,-14.800000,0.000000,top
"R5","2k2","R_0805_2012Metric",58.000000,-16.900000,0.000000,top
"R6","10k","R_0805_2012Metric",86.000000,-20.500000,0.000000,top
"R7","2k2","R_0805_2012Metric",58.000000,-22.599999,0.000000,top
"R8","10k","R_0805_2012Metric",86.000000,-26.200000,0.000000,top
"R9","2k2","R_0805_2012Metric",58.000000,-28.300000,0.000000,top
"R10","10k","R_0805_2012Metric",86.000000,-31.900000,0.000000,top
"R11","2k2","R_0805_2012Metric",58.000000,-34.000000,0.000000,top
"R12","10k","R_0805_2012Metric",86.000000,-37.599999,0.000000,top
"R13","2k2","R_0805_2012Metric",58.000000,-39.700000,0.000000,top
"R14","10k","R_0805_2012Metric",86.000000,-43.300000,0.000000,top
"R15","2k2","R_0805_2012Metric",58.000000,-45.400000,0.000000,top
"R16","10k","R_0805_2012Metric",86.000000,-49.000000,0.000000,top
"R17","2k2","R_0805_2012Metric",58.000000,-51.100000,0.000000,top
"R18","10k","R_0805_2012Metric",86.000000,-54.699999,0.000000,top
"R19","2k2","R_0805_2012Metric",58.000000,-56.800000,0.000000,top
"R20","10k","R_0805_2012Metric",86.000000,-60.400000,0.000000,top
"R21","2k2","R_0805_2012Metric",58.000000,-62.500000,0.000000,top
"R22","10k","R_0805_2012Metric",86.000000,-66.100000,0.000000,top
"R23","2k2","R_0805_2012Metric",58.000000,-68.200000,0.000000,top
"R24","10k","R_0805_2012Metric",86.000000,-71.800000,0.000000,top
"R25","2k2","R_0805_2012Metric",58.000000,-73.900000,0.000000,top
"R26","10k","R_0805_2012Metric",86.000000,-77.500000,0.000000,top
"R27","2k2","R_0805_2012Metric",58.000000,-79.600000,0.000000,top
"R28","10k","R_0805_2012Metric",86.000000,-83.200000,0.000000,top
"R29","2k2","R_0805_2012Metric",58.000000,-85.300000,0.000000,top
"R30","10k","R_0805_2012Metric",86.000000,-88.900000,0.000000,top
"R31","2k2","R_0805_2012Metric",58.000000,-91.000000,0.000000,top
"R32","10k","R_0805_2012Metric",86.000000,-94.600000,0.000000,top
"R33","2k2","R_0805_2012Metric",58.000000,-96.700000,0.000000,top
"R34","10k","R_0805_2012Metric",86.000000,-100.300000,0.000000,top
"R35","2k2","R_0805_2012Metric",58.000000,-102.400000,0.000000,top
"R36","10k","R_0805_2012Metric",86.000000,-106.000000,0.000000,top
"R37","2k2","R_0805_2012Metric",58.000000,-108.100000,0.000000,top
"R38","10k","R_0805_2012Metric",86.000000,-111.700000,0.000000,top
"R39","2k2","R_0805_2012Metric",58.000000,-113.800000,0.000000,top
"R40","10k","R_0805_2012Metric",86.000000,-117.400000,0.000000,top
"R41","2k2","R_0805_2012Metric",58.000000,-119.500000,0.000000,top
"R42","10k","R_0805_2012Metric",86.000000,-123.100000,0.000000,top
"R43","2k2","R_0805_2012Metric",58.000000,-125.200000,0.000000,top
"R44","10k","R_0805_2012Metric",86.000000,-128.800000,0.000000,top
"R45","2k2","R_0805_2012Metric",58.000000,-130.899999,0.000000,top
"R46","10k","R_0805_2012Metric",86.000000,-134.500000,0.000000,top
"R47","2k2","R_0805_2012Metric",58.000000,-136.600000,0.000000,top
"R48","10k","R_0805_2012Metric",86.000000,-140.200000,0.000000,top
"R49","2k2","R_0805_2012Metric",58.000000,-142.299999,0.000000,top
"R50","10k","R_0805_2012Metric",86.000000,-145.900000,0.000000,top
