Mate For,Qty per board,Manufacturer,MFR Part #,Description,Termination,Coding / marking,Status,Notes
J3,1,Phoenix Contact,1840447,"MC 1,5/10-ST-3,5, 10-position 3.5mm screw plug",strip 7mm; torque 0.22-0.25 Nm (M2 screw); max 0.5mm2 with insulated ferrule / 1.5mm2 bare or uninsulated ferrule,CP-MSTB profile in PLUG at pole 1; remove J3 header rib at pole 1; WHITE band. CP-MSTB profile fits the PLUG (or an inverted header) - NEVER pressed into a standard MCV G-3.5 header; header side of the code = remove the coding rib at the matching pole. Sacrificial-pair proof REQUIRED before coding production parts (first-article pack step FA-8).,Locked,SAME PN as J15's plug - coding + band color are the only discriminators.
J15,1,Phoenix Contact,1840447,"MC 1,5/10-ST-3,5, 10-position 3.5mm screw plug",strip 7mm; torque 0.22-0.25 Nm (M2 screw); max 0.5mm2 with insulated ferrule / 1.5mm2 bare or uninsulated ferrule,CP-MSTB profile in PLUG at pole 10; remove J15 header rib at pole 10; YELLOW band. CP-MSTB profile fits the PLUG (or an inverted header) - NEVER pressed into a standard MCV G-3.5 header; header side of the code = remove the coding rib at the matching pole. Sacrificial-pair proof REQUIRED before coding production parts (first-article pack step FA-8).,Locked,NEW in rev-D (AUX4-11). A J3<->J15 swap is electrically silent but crosses cycle sensors with AUX contacts - the coding is mandatory (OG-3/FR-4).
J4,1,Phoenix Contact,1840489,"MC 1,5/14-ST-3,5, 14-position 3.5mm screw plug",strip 7mm; torque 0.22-0.25 Nm (M2 screw); max 0.5mm2 with insulated ferrule / 1.5mm2 bare or uninsulated ferrule,none (unique pole count),Locked,
J5,1,Phoenix Contact,1840463,"MC 1,5/12-ST-3,5, 12-position 3.5mm screw plug",strip 7mm; torque 0.22-0.25 Nm (M2 screw); max 0.5mm2 with insulated ferrule / 1.5mm2 bare or uninsulated ferrule,none (unique pole count),Locked,
J13,1,Phoenix Contact,1840405,"MC 1,5/ 6-ST-3,5, 6-position 3.5mm screw plug",strip 7mm; torque 0.22-0.25 Nm (M2 screw); max 0.5mm2 with insulated ferrule / 1.5mm2 bare or uninsulated ferrule,CP-MSTB profile in PLUG at pole 1; remove J13 header rib at pole 1; WHITE band. CP-MSTB profile fits the PLUG (or an inverted header) - NEVER pressed into a standard MCV G-3.5 header; header side of the code = remove the coding rib at the matching pole. Sacrificial-pair proof REQUIRED before coding production parts (first-article pack step FA-8).,Locked,SAME PN as J16's plug. A lamp plug in J16 lands resistorless LEDs across 5V->GND and wedges I2C (FR-5) - coding is mandatory.
J16,1,Phoenix Contact,1840405,"MC 1,5/ 6-ST-3,5, 6-position 3.5mm screw plug",strip 7mm; torque 0.22-0.25 Nm (M2 screw); max 0.5mm2 with insulated ferrule / 1.5mm2 bare or uninsulated ferrule,CP-MSTB profile in PLUG at pole 6; remove J16 header rib at pole 6; BLUE band. CP-MSTB profile fits the PLUG (or an inverted header) - NEVER pressed into a standard MCV G-3.5 header; header side of the code = remove the coding rib at the matching pole. Sacrificial-pair proof REQUIRED before coding production parts (first-article pack step FA-8).,Locked,NEW in rev-D (external I2C module).
J14,1,Phoenix Contact,1840382,"MC 1,5/ 4-ST-3,5, 4-position 3.5mm screw plug","strip 7mm; torque 0.22-0.25 Nm (M2 screw); max 0.5mm2 with insulated ferrule / 1.5mm2 bare or uninsulated ferrule; 18 AWG (0.82mm2) exceeds the 0.5mm2 insulated-ferrule limit - use UNinsulated ferrules or bare stranded (corrected 2026-07-21, was wrongly specced 0.75-1.0mm2 insulated)",none (unique pole count); carries the Candidate-C TBSC jumper on 1-2,Locked,+1 spare per lane (build-sheet section 4).
J3/J15/J13/J16 coding,"4 profiles (1 per coded plug: J3@1, J15@10, J13@1, J16@6) = 1 star of 6; buy 2 stars min for the pilot (FA-8 sacrificial-pair proof + spares)",Phoenix Contact,1734634,CP-MSTB coding profile star (6 profiles per star),n/a,CP-MSTB profile fits the PLUG (or an inverted header) - NEVER pressed into a standard MCV G-3.5 header; header side of the code = remove the coding rib at the matching pole. Sacrificial-pair proof REQUIRED before coding production parts (first-article pack step FA-8).,Locked,MUST be fitted before first article; first-article gate includes the physical cross-mate refusal test AND the sacrificial-pair proof (FA-8).
J1,1,CNC Tech candidate,3030-20-0102-00,20-position IDC socket candidate for 2x10 2.54mm ribbon harness,IDC - ribbon per J1 header orientation,verify pin-1 convention,Candidate - verify with J1,
harness marking stock,as needed,-,-,"Band-color stock: WHITE (J3+J13), YELLOW (J15), BLUE (J16) heat-shrink or wire-marker bands",n/a,apply at plug end of every harness bundle per the rows above,Locked convention (FR-4/FR-5),
