Designator,Value,Footprint,Reason
C4,10nF X2 DNP,C_0805_2012Metric,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
C5,10nF X2 DNP,C_0805_2012Metric,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
C6,10nF X2 DNP,C_0805_2012Metric,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
C7,10nF X2 DNP,C_0805_2012Metric,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
C8,10nF X2 DNP,C_0805_2012Metric,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
C9,10nF X2 DNP,C_0805_2012Metric,DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
C10,10nF X2 DNP,C_0805_2012Metric,M1 optional channel (never metered; populate only after runbook 3.6)
C17,10nF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C18,10nF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
C19,10nF X7R DNP,C_0805_2012Metric,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap."
