Channel,Speed class,Field connector pin,Opto,Rin (2k2),Rpu (47k),Dser ref,Dser part,Dser stuffing,Dclamp ref,Dclamp part,Dclamp stuffing,Cflt ref,Cflt value,Cflt MFR Part #,Cflt LCSC Part #,Cflt stuffing,Signal-class evidence,Measured / prior,Decision + measurement that decides Cflt,Measurement procedure
DIELL_L,FAST (RP2040),J3-7,U10,R15,R16,D30,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D31,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C23,10nF X7R,C0805B103K500NT,C17702767,DNP - DO NOT FIT unless the measurement below says so,"MEASURED (lane 22, 2026-07-18/21)",15.4-16 VDC at rest (DIELL board self-powers),"Absolute-maximum VIOLATION pre-r6: 9.4-11 V reverse at the rev-D Vw = 5-6 V rail (1.6-1.8x the 6 V V_R). Permanent, survives brain removal. Cflt UNFITTED (DC). FA-15 reverse proof MANDATORY. NOTE: FAST channel - never fit >22 nF.",Already metered - no measurement pending.
DIELL_R,FAST (RP2040),J3-8,U11,R17,R18,D32,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D33,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C24,10nF X7R,C0805B103K500NT,C17702767,DNP - DO NOT FIT unless the measurement below says so,"MEASURED (lane 22, 2026-07-18/21)",15.4-16 VDC at rest (DIELL board self-powers),"Absolute-maximum VIOLATION pre-r6: 9.4-11 V reverse at the rev-D Vw = 5-6 V rail (1.6-1.8x the 6 V V_R). Permanent, survives brain removal. Cflt UNFITTED (DC). FA-15 reverse proof MANDATORY. NOTE: FAST channel - never fit >22 nF.",Already metered - no measurement pending.
SA,FAST (RP2040),J3-1,U4,R3,R4,D18,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D19,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C17,10nF X7R,C0805B103K500NT,C17702767,DNP - DO NOT FIT unless the measurement below says so,UNMEASURED,"cam contact in the machine's 24 VAC relay ladder (prior, not reading) - proven by the ~21 ohm coil sneak paths that invalidated cold mapping twice",MEASURE-THEN-STUFF. FAST channel: if it is driven 24 VAC the answer is still DO NOT FIT Cflt - r6 makes it electrically SURVIVABLE (28.9 Vpk vs 75 V V_RRM) but NOT functionally usable (120 debounced edges/s = 12 per CHATTER_WINDOW_MS vs CHATTER_MAX_CAM = 8 -> sustained chatter fault). Fallback per the metering guide: tap the cam AT THE SWITCH and skip C2A for that channel.,"At the machine end, OEM brain powered, THIS BOARD DISCONNECTED: meter the channel wire to machine common on DC volts AND AC volts through a full machine cycle, then confirm with a scope (a DMM cannot tell 60 Hz AC from a chopped DC train). DECIDE: (a) V_AC < 1 Vrms -> DC class, LEAVE Cflt UNFITTED whatever V_DC is - Dser + Dclamp already cover DC up to 75 V V_RRM; (b) V_AC >= 5 Vrms (24 VAC ladder) AND this is a SLOW channel AND its release budget is >= 200 ms -> FIT Cflt 2.2uF and re-run FA-9 edge timing; (c) V_AC >= 5 Vrms on a FAST channel (SA/SB/SC/TA1/TA2/TB/DIELL_L/DIELL_R) -> DO NOT FIT. 60 Hz integration needs >=951 nF = 183 ms de-assert against a 1 ms edge budget, 92x DEBOUNCE_CAM_US and 122% of CAM_*_GRACE_MS; that channel is SURVIVABLE but NOT USABLE on AC and must be tapped at the switch or handled in firmware (r6 spec SS B.4). RECORD the reading either way - FA-15 requires the driven-24 VAC channel count N, and the board is budgeted for N = 0."
SB,FAST (RP2040),J3-2,U5,R5,R6,D20,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D21,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C18,10nF X7R,C0805B103K500NT,C17702767,DNP - DO NOT FIT unless the measurement below says so,UNMEASURED,"cam contact in the machine's 24 VAC relay ladder (prior, not reading) - proven by the ~21 ohm coil sneak paths that invalidated cold mapping twice",MEASURE-THEN-STUFF. FAST channel: if it is driven 24 VAC the answer is still DO NOT FIT Cflt - r6 makes it electrically SURVIVABLE (28.9 Vpk vs 75 V V_RRM) but NOT functionally usable (120 debounced edges/s = 12 per CHATTER_WINDOW_MS vs CHATTER_MAX_CAM = 8 -> sustained chatter fault). Fallback per the metering guide: tap the cam AT THE SWITCH and skip C2A for that channel.,"At the machine end, OEM brain powered, THIS BOARD DISCONNECTED: meter the channel wire to machine common on DC volts AND AC volts through a full machine cycle, then confirm with a scope (a DMM cannot tell 60 Hz AC from a chopped DC train). DECIDE: (a) V_AC < 1 Vrms -> DC class, LEAVE Cflt UNFITTED whatever V_DC is - Dser + Dclamp already cover DC up to 75 V V_RRM; (b) V_AC >= 5 Vrms (24 VAC ladder) AND this is a SLOW channel AND its release budget is >= 200 ms -> FIT Cflt 2.2uF and re-run FA-9 edge timing; (c) V_AC >= 5 Vrms on a FAST channel (SA/SB/SC/TA1/TA2/TB/DIELL_L/DIELL_R) -> DO NOT FIT. 60 Hz integration needs >=951 nF = 183 ms de-assert against a 1 ms edge budget, 92x DEBOUNCE_CAM_US and 122% of CAM_*_GRACE_MS; that channel is SURVIVABLE but NOT USABLE on AC and must be tapped at the switch or handled in firmware (r6 spec SS B.4). RECORD the reading either way - FA-15 requires the driven-24 VAC channel count N, and the board is budgeted for N = 0."
SC,FAST (RP2040),J3-3,U6,R7,R8,D22,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D23,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C19,10nF X7R,C0805B103K500NT,C17702767,DNP - DO NOT FIT unless the measurement below says so,UNMEASURED,"cam class, same 24 VAC ladder prior as SA/SB/TA1/TA2","MEASURE-THEN-STUFF. FAST channel - see SA/SB/TA1/TA2: AC-driven means tap at the switch or change firmware, never a cap.","At the machine end, OEM brain powered, THIS BOARD DISCONNECTED: meter the channel wire to machine common on DC volts AND AC volts through a full machine cycle, then confirm with a scope (a DMM cannot tell 60 Hz AC from a chopped DC train). DECIDE: (a) V_AC < 1 Vrms -> DC class, LEAVE Cflt UNFITTED whatever V_DC is - Dser + Dclamp already cover DC up to 75 V V_RRM; (b) V_AC >= 5 Vrms (24 VAC ladder) AND this is a SLOW channel AND its release budget is >= 200 ms -> FIT Cflt 2.2uF and re-run FA-9 edge timing; (c) V_AC >= 5 Vrms on a FAST channel (SA/SB/SC/TA1/TA2/TB/DIELL_L/DIELL_R) -> DO NOT FIT. 60 Hz integration needs >=951 nF = 183 ms de-assert against a 1 ms edge budget, 92x DEBOUNCE_CAM_US and 122% of CAM_*_GRACE_MS; that channel is SURVIVABLE but NOT USABLE on AC and must be tapped at the switch or handled in firmware (r6 spec SS B.4). RECORD the reading either way - FA-15 requires the driven-24 VAC channel count N, and the board is budgeted for N = 0."
TA1,FAST (RP2040),J3-4,U7,R9,R10,D24,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D25,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C20,10nF X7R,C0805B103K500NT,C17702767,DNP - DO NOT FIT unless the measurement below says so,UNMEASURED,"cam contact in the machine's 24 VAC relay ladder (prior, not reading) - proven by the ~21 ohm coil sneak paths that invalidated cold mapping twice",MEASURE-THEN-STUFF. FAST channel: if it is driven 24 VAC the answer is still DO NOT FIT Cflt - r6 makes it electrically SURVIVABLE (28.9 Vpk vs 75 V V_RRM) but NOT functionally usable (120 debounced edges/s = 12 per CHATTER_WINDOW_MS vs CHATTER_MAX_CAM = 8 -> sustained chatter fault). Fallback per the metering guide: tap the cam AT THE SWITCH and skip C2A for that channel.,"At the machine end, OEM brain powered, THIS BOARD DISCONNECTED: meter the channel wire to machine common on DC volts AND AC volts through a full machine cycle, then confirm with a scope (a DMM cannot tell 60 Hz AC from a chopped DC train). DECIDE: (a) V_AC < 1 Vrms -> DC class, LEAVE Cflt UNFITTED whatever V_DC is - Dser + Dclamp already cover DC up to 75 V V_RRM; (b) V_AC >= 5 Vrms (24 VAC ladder) AND this is a SLOW channel AND its release budget is >= 200 ms -> FIT Cflt 2.2uF and re-run FA-9 edge timing; (c) V_AC >= 5 Vrms on a FAST channel (SA/SB/SC/TA1/TA2/TB/DIELL_L/DIELL_R) -> DO NOT FIT. 60 Hz integration needs >=951 nF = 183 ms de-assert against a 1 ms edge budget, 92x DEBOUNCE_CAM_US and 122% of CAM_*_GRACE_MS; that channel is SURVIVABLE but NOT USABLE on AC and must be tapped at the switch or handled in firmware (r6 spec SS B.4). RECORD the reading either way - FA-15 requires the driven-24 VAC channel count N, and the board is budgeted for N = 0."
TA2,FAST (RP2040),J3-5,U8,R11,R12,D26,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D27,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C21,10nF X7R,C0805B103K500NT,C17702767,DNP - DO NOT FIT unless the measurement below says so,UNMEASURED,"cam contact in the machine's 24 VAC relay ladder (prior, not reading) - proven by the ~21 ohm coil sneak paths that invalidated cold mapping twice",MEASURE-THEN-STUFF. FAST channel: if it is driven 24 VAC the answer is still DO NOT FIT Cflt - r6 makes it electrically SURVIVABLE (28.9 Vpk vs 75 V V_RRM) but NOT functionally usable (120 debounced edges/s = 12 per CHATTER_WINDOW_MS vs CHATTER_MAX_CAM = 8 -> sustained chatter fault). Fallback per the metering guide: tap the cam AT THE SWITCH and skip C2A for that channel.,"At the machine end, OEM brain powered, THIS BOARD DISCONNECTED: meter the channel wire to machine common on DC volts AND AC volts through a full machine cycle, then confirm with a scope (a DMM cannot tell 60 Hz AC from a chopped DC train). DECIDE: (a) V_AC < 1 Vrms -> DC class, LEAVE Cflt UNFITTED whatever V_DC is - Dser + Dclamp already cover DC up to 75 V V_RRM; (b) V_AC >= 5 Vrms (24 VAC ladder) AND this is a SLOW channel AND its release budget is >= 200 ms -> FIT Cflt 2.2uF and re-run FA-9 edge timing; (c) V_AC >= 5 Vrms on a FAST channel (SA/SB/SC/TA1/TA2/TB/DIELL_L/DIELL_R) -> DO NOT FIT. 60 Hz integration needs >=951 nF = 183 ms de-assert against a 1 ms edge budget, 92x DEBOUNCE_CAM_US and 122% of CAM_*_GRACE_MS; that channel is SURVIVABLE but NOT USABLE on AC and must be tapped at the switch or handled in firmware (r6 spec SS B.4). RECORD the reading either way - FA-15 requires the driven-24 VAC channel count N, and the board is budgeted for N = 0."
TB,FAST (RP2040),J3-6,U9,R13,R14,D28,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D29,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C22,10nF X7R,C0805B103K500NT,C17702767,DNP - DO NOT FIT unless the measurement below says so,UNMEASURED,"cam class, same 24 VAC ladder prior as SA/SB/TA1/TA2","MEASURE-THEN-STUFF. FAST channel - see SA/SB/TA1/TA2: AC-driven means tap at the switch or change firmware, never a cap.","At the machine end, OEM brain powered, THIS BOARD DISCONNECTED: meter the channel wire to machine common on DC volts AND AC volts through a full machine cycle, then confirm with a scope (a DMM cannot tell 60 Hz AC from a chopped DC train). DECIDE: (a) V_AC < 1 Vrms -> DC class, LEAVE Cflt UNFITTED whatever V_DC is - Dser + Dclamp already cover DC up to 75 V V_RRM; (b) V_AC >= 5 Vrms (24 VAC ladder) AND this is a SLOW channel AND its release budget is >= 200 ms -> FIT Cflt 2.2uF and re-run FA-9 edge timing; (c) V_AC >= 5 Vrms on a FAST channel (SA/SB/SC/TA1/TA2/TB/DIELL_L/DIELL_R) -> DO NOT FIT. 60 Hz integration needs >=951 nF = 183 ms de-assert against a 1 ms edge budget, 92x DEBOUNCE_CAM_US and 122% of CAM_*_GRACE_MS; that channel is SURVIVABLE but NOT USABLE on AC and must be tapped at the switch or handled in firmware (r6 spec SS B.4). RECORD the reading either way - FA-15 requires the driven-24 VAC channel count N, and the board is budgeted for N = 0."
AUX1,SLOW (MCP23017),J5-9,U33,R61,R62,D76,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D77,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C46,2.2uF X7R,CL21B225KAFNNNE,C19110,DNP - DO NOT FIT unless the measurement below says so,SPARE - unallocated,no signal assigned,"Default UNFITTED. The reason Dclamp is POPULATED rather than DNP: nobody has chosen these channels' signal class yet, and a spare landed on an unknown wire is exactly the case a stuffing table loses across 32 lanes.","At the machine end, OEM brain powered, THIS BOARD DISCONNECTED: meter the channel wire to machine common on DC volts AND AC volts through a full machine cycle, then confirm with a scope (a DMM cannot tell 60 Hz AC from a chopped DC train). DECIDE: (a) V_AC < 1 Vrms -> DC class, LEAVE Cflt UNFITTED whatever V_DC is - Dser + Dclamp already cover DC up to 75 V V_RRM; (b) V_AC >= 5 Vrms (24 VAC ladder) AND this is a SLOW channel AND its release budget is >= 200 ms -> FIT Cflt 2.2uF and re-run FA-9 edge timing; (c) V_AC >= 5 Vrms on a FAST channel (SA/SB/SC/TA1/TA2/TB/DIELL_L/DIELL_R) -> DO NOT FIT. 60 Hz integration needs >=951 nF = 183 ms de-assert against a 1 ms edge budget, 92x DEBOUNCE_CAM_US and 122% of CAM_*_GRACE_MS; that channel is SURVIVABLE but NOT USABLE on AC and must be tapped at the switch or handled in firmware (r6 spec SS B.4). RECORD the reading either way - FA-15 requires the driven-24 VAC channel count N, and the board is budgeted for N = 0."
AUX10,SLOW (MCP23017),J15-7,U42,R79,R80,D94,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (never DNP: DNP = open channel),D95,1N4148WS SOD-323 (LCSC C118873),POPULATE - ALWAYS (uniform; no per-channel decision),C55,2.2uF X7R,CL21B225KAFNNNE,C19110,DNP - DO NOT FIT unless the measurement below says so,SPARE - unallocated,no signal assigned,"Default UNFITTED. The reason Dclamp is POPULATED rather than DNP: nobody has chosen these channels' signal class yet, and a spare landed on an unknown wire is exactly the case a stuffing table loses across 32 lanes.","At the machine end, OEM brain powered, THIS BOARD DISCONNECTED: meter the channel wire to machine common on DC volts AND AC volts through a full machine cycle, then confirm with a scope (a DMM cannot tell 60 Hz AC from a chopped DC train). DECIDE: (a) V_AC < 1 Vrms -> DC class, LEAVE Cflt UNFITTED whatever V_DC is - Dser + Dclamp already cover DC up to 75 V V_RRM; (b) V_AC >= 5 Vrms (24 VAC ladder) AND this is a SLOW channel AND its release budget is >= 200 ms -> FIT Cflt 2.2uF and re-run FA-9 edge timing; (c) V_AC >= 5 Vrms on a FAST channel (SA/SB/SC/TA1/TA2/TB/DIELL_L/DIELL_R) -> DO NOT FIT. 60 Hz integration needs >=951 nF = 183 ms de-assert against a 1 ms edge budget, 92x DEBOUNCE_CAM_US and 122% of CAM_*_GRACE_MS; that channel is SURVIVABLE but NOT USABLE on AC and must be tapped at the switch or handled in firmware (r6 spec SS B.4). RECORD the reading either way - FA-15 requires the driven-24 VAC channel count N, and the board is budgeted for N = 0."
