Designator,Value,Footprint,Manufacturer,MFR Part #,LCSC Part #,Reason
C4,10nF X2 DNP,C_0805_2012Metric,(identity awaits G7 item 7 characterization),(identity awaits G7 item 7 characterization),(identity awaits G7 item 7 characterization),DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
C5,10nF X2 DNP,C_0805_2012Metric,(identity awaits G7 item 7 characterization),(identity awaits G7 item 7 characterization),(identity awaits G7 item 7 characterization),DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
C6,10nF X2 DNP,C_0805_2012Metric,(identity awaits G7 item 7 characterization),(identity awaits G7 item 7 characterization),(identity awaits G7 item 7 characterization),DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
C7,10nF X2 DNP,C_0805_2012Metric,(identity awaits G7 item 7 characterization),(identity awaits G7 item 7 characterization),(identity awaits G7 item 7 characterization),DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
C8,10nF X2 DNP,C_0805_2012Metric,(identity awaits G7 item 7 characterization),(identity awaits G7 item 7 characterization),(identity awaits G7 item 7 characterization),DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
C9,10nF X2 DNP,C_0805_2012Metric,(identity awaits G7 item 7 characterization),(identity awaits G7 item 7 characterization),(identity awaits G7 item 7 characterization),DNP (snubber/MOV sizing awaits the powered characterization session - G7 item 7)
C10,10nF X2 DNP,C_0805_2012Metric,(identity awaits G7 item 7 characterization),(identity awaits G7 item 7 characterization),(identity awaits G7 item 7 characterization),M1 optional channel (never metered; populate only after runbook 3.6)
C17,10nF X7R DNP,C_0805_2012Metric,TORCH,C0805B103K500NT,C17702767,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 10nF 50V X7R +/-10% 0805 MLCC. FR-18. Same MPN as the assembled C13 line - zero new part class. 10 nF -> 0.493 ms edge; 22 nF is the HARD ceiling on a fast channel."
C18,10nF X7R DNP,C_0805_2012Metric,TORCH,C0805B103K500NT,C17702767,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 10nF 50V X7R +/-10% 0805 MLCC. FR-18. Same MPN as the assembled C13 line - zero new part class. 10 nF -> 0.493 ms edge; 22 nF is the HARD ceiling on a fast channel."
C19,10nF X7R DNP,C_0805_2012Metric,TORCH,C0805B103K500NT,C17702767,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 10nF 50V X7R +/-10% 0805 MLCC. FR-18. Same MPN as the assembled C13 line - zero new part class. 10 nF -> 0.493 ms edge; 22 nF is the HARD ceiling on a fast channel."
C20,10nF X7R DNP,C_0805_2012Metric,TORCH,C0805B103K500NT,C17702767,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 10nF 50V X7R +/-10% 0805 MLCC. FR-18. Same MPN as the assembled C13 line - zero new part class. 10 nF -> 0.493 ms edge; 22 nF is the HARD ceiling on a fast channel."
C21,10nF X7R DNP,C_0805_2012Metric,TORCH,C0805B103K500NT,C17702767,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 10nF 50V X7R +/-10% 0805 MLCC. FR-18. Same MPN as the assembled C13 line - zero new part class. 10 nF -> 0.493 ms edge; 22 nF is the HARD ceiling on a fast channel."
C22,10nF X7R DNP,C_0805_2012Metric,TORCH,C0805B103K500NT,C17702767,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 10nF 50V X7R +/-10% 0805 MLCC. FR-18. Same MPN as the assembled C13 line - zero new part class. 10 nF -> 0.493 ms edge; 22 nF is the HARD ceiling on a fast channel."
C23,10nF X7R DNP,C_0805_2012Metric,TORCH,C0805B103K500NT,C17702767,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 10nF 50V X7R +/-10% 0805 MLCC. FR-18. Same MPN as the assembled C13 line - zero new part class. 10 nF -> 0.493 ms edge; 22 nF is the HARD ceiling on a fast channel."
C24,10nF X7R DNP,C_0805_2012Metric,TORCH,C0805B103K500NT,C17702767,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 10nF 50V X7R +/-10% 0805 MLCC. FR-18. Same MPN as the assembled C13 line - zero new part class. 10 nF -> 0.493 ms edge; 22 nF is the HARD ceiling on a fast channel."
C25,2.2uF X7R DNP,C_0805_2012Metric,Samsung Electro-Mechanics,CL21B225KAFNNNE,C19110,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 2.2uF 25V X7R +/-10% 0805 MLCC. FR-17. 25 V minimum (the logic side is 3.3 V, but X7R DC-bias derating at 0805/2.2uF is severe: worst-effective ~1.65uF is what the 951 nF 60 Hz floor is computed against). A 1uF part (C28323) was REJECTED: 749 nF effective < 951 nF."
C26,2.2uF X7R DNP,C_0805_2012Metric,Samsung Electro-Mechanics,CL21B225KAFNNNE,C19110,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 2.2uF 25V X7R +/-10% 0805 MLCC. FR-17. 25 V minimum (the logic side is 3.3 V, but X7R DC-bias derating at 0805/2.2uF is severe: worst-effective ~1.65uF is what the 951 nF 60 Hz floor is computed against). A 1uF part (C28323) was REJECTED: 749 nF effective < 951 nF."
C27,2.2uF X7R DNP,C_0805_2012Metric,Samsung Electro-Mechanics,CL21B225KAFNNNE,C19110,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 2.2uF 25V X7R +/-10% 0805 MLCC. FR-17. 25 V minimum (the logic side is 3.3 V, but X7R DC-bias derating at 0805/2.2uF is severe: worst-effective ~1.65uF is what the 951 nF 60 Hz floor is computed against). A 1uF part (C28323) was REJECTED: 749 nF effective < 951 nF."
C28,2.2uF X7R DNP,C_0805_2012Metric,Samsung Electro-Mechanics,CL21B225KAFNNNE,C19110,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 2.2uF 25V X7R +/-10% 0805 MLCC. FR-17. 25 V minimum (the logic side is 3.3 V, but X7R DC-bias derating at 0805/2.2uF is severe: worst-effective ~1.65uF is what the 951 nF 60 Hz floor is computed against). A 1uF part (C28323) was REJECTED: 749 nF effective < 951 nF."
C29,2.2uF X7R DNP,C_0805_2012Metric,Samsung Electro-Mechanics,CL21B225KAFNNNE,C19110,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 2.2uF 25V X7R +/-10% 0805 MLCC. FR-17. 25 V minimum (the logic side is 3.3 V, but X7R DC-bias derating at 0805/2.2uF is severe: worst-effective ~1.65uF is what the 951 nF 60 Hz floor is computed against). A 1uF part (C28323) was REJECTED: 749 nF effective < 951 nF."
C30,2.2uF X7R DNP,C_0805_2012Metric,Samsung Electro-Mechanics,CL21B225KAFNNNE,C19110,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 2.2uF 25V X7R +/-10% 0805 MLCC. FR-17. 25 V minimum (the logic side is 3.3 V, but X7R DC-bias derating at 0805/2.2uF is severe: worst-effective ~1.65uF is what the 951 nF 60 Hz floor is computed against). A 1uF part (C28323) was REJECTED: 749 nF effective < 951 nF."
C31,2.2uF X7R DNP,C_0805_2012Metric,Samsung Electro-Mechanics,CL21B225KAFNNNE,C19110,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 2.2uF 25V X7R +/-10% 0805 MLCC. FR-17. 25 V minimum (the logic side is 3.3 V, but X7R DC-bias derating at 0805/2.2uF is severe: worst-effective ~1.65uF is what the 951 nF 60 Hz floor is computed against). A 1uF part (C28323) was REJECTED: 749 nF effective < 951 nF."
C32,2.2uF X7R DNP,C_0805_2012Metric,Samsung Electro-Mechanics,CL21B225KAFNNNE,C19110,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 2.2uF 25V X7R +/-10% 0805 MLCC. FR-17. 25 V minimum (the logic side is 3.3 V, but X7R DC-bias derating at 0805/2.2uF is severe: worst-effective ~1.65uF is what the 951 nF 60 Hz floor is computed against). A 1uF part (C28323) was REJECTED: 749 nF effective < 951 nF."
C33,2.2uF X7R DNP,C_0805_2012Metric,Samsung Electro-Mechanics,CL21B225KAFNNNE,C19110,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 2.2uF 25V X7R +/-10% 0805 MLCC. FR-17. 25 V minimum (the logic side is 3.3 V, but X7R DC-bias derating at 0805/2.2uF is severe: worst-effective ~1.65uF is what the 951 nF 60 Hz floor is computed against). A 1uF part (C28323) was REJECTED: 749 nF effective < 951 nF."
C34,2.2uF X7R DNP,C_0805_2012Metric,Samsung Electro-Mechanics,CL21B225KAFNNNE,C19110,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 2.2uF 25V X7R +/-10% 0805 MLCC. FR-17. 25 V minimum (the logic side is 3.3 V, but X7R DC-bias derating at 0805/2.2uF is severe: worst-effective ~1.65uF is what the 951 nF 60 Hz floor is computed against). A 1uF part (C28323) was REJECTED: 749 nF effective < 951 nF."
C35,2.2uF X7R DNP,C_0805_2012Metric,Samsung Electro-Mechanics,CL21B225KAFNNNE,C19110,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 2.2uF 25V X7R +/-10% 0805 MLCC. FR-17. 25 V minimum (the logic side is 3.3 V, but X7R DC-bias derating at 0805/2.2uF is severe: worst-effective ~1.65uF is what the 951 nF 60 Hz floor is computed against). A 1uF part (C28323) was REJECTED: 749 nF effective < 951 nF."
C36,2.2uF X7R DNP,C_0805_2012Metric,Samsung Electro-Mechanics,CL21B225KAFNNNE,C19110,"DNP by design (r6): logic-side AC-integration / de-glitch cap. Fit ONLY on a channel MEASURED to carry a 60 Hz pulse train. 2.2uF max on the MCP23017 slow channels (183 ms de-assert, and no slow channel may have a release budget tighter than 200 ms); NEVER exceed 22 nF on the RP2040 fast channels GP6-GP13 (1 ms edge budget). NOTE: 60 Hz integration is NOT available on the fast cam channels SA/SB/TA1/TA2 - see r6 spec SS B.4, that case needs a firmware change, not a cap. FIELD-STUFF LOCK: 2.2uF 25V X7R +/-10% 0805 MLCC. FR-17. 25 V minimum (the logic side is 3.3 V, but X7R DC-bias derating at 0805/2.2uF is severe: worst-effective ~1.65uF is what the 951 nF 60 Hz floor is computed against). A 1uF part (C28323) was REJECTED: 749 nF effective < 951 nF."
