"Comment","Designator","Footprint","LCSC Part #"
"100uF/16V","C1","CP_Elec_6.3x5.4","C16133"
"0.1uF/50V","C2","C_0805_2012Metric","C49678"
"10nF/50V","C3","C_0805_2012Metric","C53084521"
"10uF/63V","C4,C5,C6,C7","CP_Elec_6.3x5.4",""
"1N4148WS","D1,D2","D_SOD-323",""
"M7 (1N4007)","D3,D4,D5,D6","D_SMA","C95872"
"Green","D7,D8","LED_0805_2012Metric","C72043"
"SS14","D9","D_SMA",""
"AO3400A","Q1,Q2","SOT-23","C20917"
"100k","R1,R9,R10,R11,R12","R_0805_2012Metric",""
"10k","R2,R4,R6","R_0805_2012Metric","C2930231"
"1k","R3,R5","R_0805_2012Metric","C2907295"
"470","R7,R8","R_0805_2012Metric","C2907329"
"NE555","U1","SOIC-8_3.9x4.9mm_P1.27mm","C7593"
