"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","100uF/16V","CP_Elec_6.3x5.4","30.000000","-58.000000","0.000000","Top"
"C2","0.1uF/50V","C_0805_2012Metric","24.000000","-65.000000","0.000000","Top"
"C3","10nF/50V","C_0805_2012Metric","37.000000","-60.000000","0.000000","Top"
"C4","10uF/63V","CP_Elec_6.3x5.4","20.000000","-30.000000","90.000000","Top"
"C5","10uF/63V","CP_Elec_6.3x5.4","40.000000","-30.000000","90.000000","Top"
"C6","10uF/63V","CP_Elec_6.3x5.4","60.000000","-30.000000","90.000000","Top"
"C7","10uF/63V","CP_Elec_6.3x5.4","80.000000","-30.000000","90.000000","Top"
"D1","1N4148WS","D_SOD-323","45.000000","-62.000000","180.000000","Top"
"D2","1N4148WS","D_SOD-323","45.000000","-68.000000","180.000000","Top"
"D3","M7 (1N4007)","D_SMA","20.000000","-18.000000","90.000000","Top"
"D4","M7 (1N4007)","D_SMA","40.000000","-18.000000","90.000000","Top"
"D5","M7 (1N4007)","D_SMA","60.000000","-18.000000","90.000000","Top"
"D6","M7 (1N4007)","D_SMA","80.000000","-18.000000","90.000000","Top"
"D7","Green","LED_0805_2012Metric","76.000000","-60.000000","0.000000","Top"
"D8","Green","LED_0805_2012Metric","76.000000","-70.000000","0.000000","Top"
"D9","SS14","D_SMA","10.000000","-35.000000","180.000000","Top"
"Q1","AO3400A","SOT-23","52.000000","-60.000000","0.000000","Top"
"Q2","AO3400A","SOT-23","52.000000","-70.000000","0.000000","Top"
"R1","100k","R_0805_2012Metric","32.000000","-52.000000","0.000000","Top"
"R2","10k","R_0805_2012Metric","25.000000","-67.000000","0.000000","Top"
"R3","1k","R_0805_2012Metric","48.000000","-55.000000","0.000000","Top"
"R4","10k","R_0805_2012Metric","48.000000","-60.000000","0.000000","Top"
"R5","1k","R_0805_2012Metric","48.000000","-70.000000","0.000000","Top"
"R6","10k","R_0805_2012Metric","48.000000","-75.000000","0.000000","Top"
"R7","470","R_0805_2012Metric","72.000000","-60.000000","0.000000","Top"
"R8","470","R_0805_2012Metric","72.000000","-70.000000","0.000000","Top"
"R9","100k","R_0805_2012Metric","20.000000","-42.000000","90.000000","Top"
"R10","100k","R_0805_2012Metric","40.000000","-42.000000","90.000000","Top"
"R11","100k","R_0805_2012Metric","60.000000","-42.000000","90.000000","Top"
"R12","100k","R_0805_2012Metric","80.000000","-42.000000","90.000000","Top"
"U1","NE555","SOIC-8_3.9x4.9mm_P1.27mm","32.000000","-66.000000","0.000000","Top"
