# Netlist diff: rev-C (kicad/wsl-phase8b.net) -> rev-D (kicad/wsl-phase8b-revD.net)
# Generated by scripts/diff_netlist_revC_to_revD.py. Identity = SKiDL tag.
# Format: TAB-separated records; first field is the record type.
SUMMARY	parts_revC=216	parts_revD=391	nets_revC=184	nets_revD=263
ADDED_PART	C_ADC5	C15	100nF	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	C_I2C_BUF	C16	0.1uF	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_AUX1	C46	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_AUX10	C55	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_AUX11	C56	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_AUX2	C47	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_AUX3	C48	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_AUX4	C49	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_AUX5	C50	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_AUX6	C51	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_AUX7	C52	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_AUX8	C53	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_AUX9	C54	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_BS	C37	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_DIELL_L	C23	10nF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_DIELL_R	C24	10nF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_FOUL	C40	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_GP	C35	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
ADDED_PART	Cflt_GS1	C25	2.2uF X7R DNP	Capacitor_SMD:C_0805_2012Metric
